PathCode,StudentNum,TrainingNum,PredictorsNum,mean_RMSE,mean_MSE,mean_R2,mean_AdjR2,mean_PredR2,mean_PredMSE,mean_PredRMSE
1360,141,99,4,4.57699939795818,21.4297686100275,0.315746276011199,0.286629096266995,0.24604504421495,22.6529460144323,4.68382732925044
1412,116,81,8,7.47013718412923,56.7822788194966,0.415650777311358,0.350723085901509,-0.370606612472513,50.2206586393491,6.99985339438988
0495,100,70,8,5.32458506992646,30.5385698654808,0.435478528256352,0.361442925404726,0.075114909772419,60.1006208635716,7.14067614931538
0113,88,62,6,8.7022742315758,77.5988186582877,0.432915598766826,0.371051845905025,0.171962524427357,105.139506223439,10.0372679163909
1097,79,55,12,8.20681952506315,70.9958596029134,0.530570059824397,0.396447219774225,0.349759279794743,99.1793059639915,9.68437073705153
1100,77,54,12,9.84396390607006,98.3538054058736,0.605540905658625,0.490089463412369,0.135041285417234,114.568137263203,10.4418589645359
0316,72,50,9,6.80662455959777,47.7408741290688,0.428269098018309,0.299629645072429,0.0866045040922414,46.0352066460265,6.65642521270848
0690,68,48,8,9.24274170876173,88.1403499697491,0.491433275671517,0.387111896322085,0.23773737852598,97.545073510758,9.72954223843371
1112,68,47,10,14.0627729938921,200.276739459359,0.522763746011371,0.390198119903419,0.349630094935594,120.435318210374,10.8624147952394
1112,68,48,10,9.2001875905151,86.4463815578846,0.701276888881357,0.620540912903345,0.345543940314728,136.229593937366,11.6180402983283
1351,60,42,4,5.83767556135088,35.0896831593313,0.279215115871348,0.201292425695278,0.0202057189510589,51.5084629607276,7.03939084589386
0116,55,38,6,7.92405137391139,66.0896411118764,0.636993606433798,0.566734304453243,0.460203551820957,102.639094633314,9.84679174028394
0233,55,38,6,6.67976923207695,48.4306771637293,0.522916405245153,0.430577644970022,0.393077497231379,74.800350742601,8.40316229060034
0948,55,38,10,8.2056253210327,71.0801930784555,0.553106837878015,0.387590851906909,0.22842396780071,95.4010910397556,9.44657197590886
1119,55,38,10,11.4166554773788,134.49006468022,0.546107334495093,0.377998939863646,-0.175726082789424,126.593679804705,10.9953270300055
0098,54,38,8,9.11612372043664,92.7904553985897,0.607374767729332,0.499064358827079,0.293446497656242,161.843949588261,11.8220872282488
0660,53,37,8,8.48095638845049,74.861520113238,0.519600591430118,0.382343617553009,0.549319390950201,78.7939441823895,8.61953720639001
1103,53,37,12,8.18864421943914,69.2484355876043,0.687167813513311,0.530751720269967,0.601718291082925,122.158675430077,10.7602356773755
0662,49,34,8,11.0103356084471,135.217034760897,0.634085898763098,0.516993386367289,0.136947081742755,182.712146931603,12.5023809446345
1300,48,34,5,5.73217579100279,35.6995256833061,0.472306574936737,0.37807560617544,0.0550217856515147,75.7688231650313,8.69026362539445
1105,43,30,12,8.10342900335452,68.6773467199952,0.766769886075938,0.602136864482482,-0.317717102733164,180.77879070778,12.7721233677647
1113,43,30,10,7.64884546614606,59.011484328584,0.780948996548222,0.665658994731497,-0.0833966067192273,103.454787584329,9.89404425145159
1118,42,29,10,9.88153779784959,102.628807984239,0.539383956414322,0.283486154422278,0.0735486330865377,126.440273047306,10.9865610589412
0670,40,28,8,8.70400712433522,81.9382858451343,0.732554760907867,0.619946239184863,-0.10737108873944,139.958149802694,11.4291537552514
