PathCode,StudentNum,TrainingNum,PredictorsNum,Target,Accuracy,Error
1360,141,71,4,m2001,0.666666666666667,0.333333333333333
1360,141,71,4,m2002,0.738095238095238,0.261904761904762
1360,141,71,4,m2003,0.595238095238095,0.404761904761905
1360,141,71,4,m2004,0.714285714285714,0.285714285714286
1360,141,71,4,m2005,0.595238095238095,0.404761904761905
1412,116,58,8,m2001,0.6,0.4
1412,116,58,8,m2003,0.714285714285714,0.285714285714286
1412,116,58,8,m2005,0.714285714285714,0.285714285714286
1412,116,58,8,m2007,0.6,0.4
1412,116,58,8,m2009,0.428571428571429,0.571428571428571
1412,116,58,8,m2011,0.685714285714286,0.314285714285714
0495,100,50,8,m2013,0.433333333333333,0.566666666666667
0495,100,50,8,m2014,0.689655172413793,0.310344827586207
0495,100,50,8,m2015,0.689655172413793,0.310344827586207
0495,100,50,8,m2016,0.733333333333333,0.266666666666667
0495,100,50,8,m2017,0.433333333333333,0.566666666666667
0495,100,50,8,m2018,0.241379310344828,0.758620689655172
0495,100,50,8,m2019,0.566666666666667,0.433333333333333
0495,100,50,8,m2020,0.655172413793103,0.344827586206897
0113,88,44,6,m2087,0.423076923076923,0.576923076923077
0113,88,44,6,m2088,0.346153846153846,0.653846153846154
0113,88,44,6,m2089,0.846153846153846,0.153846153846154
0113,88,44,6,m2104,0.615384615384615,0.384615384615385
0113,88,44,6,m2105,0.730769230769231,0.269230769230769
0113,88,44,6,m2106,0.423076923076923,0.576923076923077
0113,88,44,6,m2107,0.5,0.5
0113,88,44,6,m2116,0.5,0.5
1097,79,39,12,m2100,0.333333333333333,0.666666666666667
1097,79,39,12,m2102,0.625,0.375
1097,79,39,12,m2103,0.625,0.375
1097,79,39,12,m2104,0.708333333333333,0.291666666666667
1097,79,39,12,m2107,0.916666666666667,0.0833333333333334
1097,79,39,12,m2115,0.416666666666667,0.583333333333333
1097,79,39,12,m2116,0.541666666666667,0.458333333333333
1097,79,39,12,m2117,0.375,0.625
1100,77,39,12,m2001,0.652173913043478,0.347826086956522
1100,77,39,12,m2012,0.347826086956522,0.652173913043478
1100,77,39,12,m2013,0.608695652173913,0.391304347826087
1100,77,39,12,m2014,0.565217391304348,0.434782608695652
1100,77,39,12,m2015,0.521739130434783,0.478260869565217
1100,77,39,12,m2017,0.478260869565217,0.521739130434783
1100,77,39,12,m2026,0.173913043478261,0.826086956521739
1100,77,39,12,m2070,0.565217391304348,0.434782608695652
1100,77,39,12,m2075,0.478260869565217,0.521739130434783
1100,77,39,12,m2083,0.782608695652174,0.217391304347826
1100,77,39,12,m2084,0.434782608695652,0.565217391304348
0316,72,36,9,m2037,0.454545454545455,0.545454545454545
0316,72,36,9,m2038,0.454545454545455,0.545454545454545
0316,72,36,9,m2039,0.727272727272727,0.272727272727273
0316,72,36,9,m2040,0.272727272727273,0.727272727272727
0316,72,36,9,m2043,0.590909090909091,0.409090909090909
0316,72,36,9,m2044,0.545454545454545,0.454545454545455
0316,72,36,9,m2051,0.636363636363636,0.363636363636364
0316,72,36,9,m2052,0.545454545454545,0.454545454545455
0690,68,34,8,m2010,0.55,0.45
0690,68,34,8,m2045,0.5,0.5
0690,68,34,8,m2046,0.4,0.6
0690,68,34,8,m2047,0.4,0.6
0690,68,34,8,m2048,0.55,0.45
0690,68,34,8,m2051,0.55,0.45
0690,68,34,8,m2052,0.25,0.75
0690,68,34,8,m2053,0.65,0.35
1112,68,34,10,m2088,0.65,0.35
1112,68,34,10,m2089,0.55,0.45
1112,68,34,10,m2091,0.5,0.5
1112,68,33,10,m2093,0.45,0.55
1112,68,33,10,m2094,0.4,0.6
1112,68,33,10,m2096,0.5,0.5
1112,68,34,10,m2098,0.55,0.45
1112,68,33,10,m2099,0.7,0.3
1351,60,30,4,m2006,0.647058823529412,0.352941176470588
1351,60,30,4,m2007,0.352941176470588,0.647058823529412
1351,60,30,4,m2008,0.333333333333333,0.666666666666667
1351,60,30,4,m2009,0.5,0.5
1351,60,30,4,m2010,0.444444444444444,0.555555555555556
1351,60,30,4,m2011,0.722222222222222,0.277777777777778
1351,60,30,4,m2012,0.5,0.5
1351,60,30,4,m2013,0.529411764705882,0.470588235294118
0116,55,27,6,m2054,0.470588235294118,0.529411764705882
0116,55,27,6,m2056,0.470588235294118,0.529411764705882
0116,55,27,6,m2057,0.764705882352941,0.235294117647059
0116,55,27,6,m2064,0.705882352941177,0.294117647058823
0116,55,27,6,m2065,0.764705882352941,0.235294117647059
0116,55,27,6,m2083,0.588235294117647,0.411764705882353
0233,55,27,6,m2089,0.647058823529412,0.352941176470588
0233,55,27,6,m2091,0.529411764705882,0.470588235294118
0233,55,27,6,m2092,0.588235294117647,0.411764705882353
0233,55,27,6,m2094,0.411764705882353,0.588235294117647
0233,55,27,6,m2104,0.470588235294118,0.529411764705882
0233,55,27,6,m2108,0.411764705882353,0.588235294117647
0233,55,27,6,m2109,0.470588235294118,0.529411764705882
0233,55,27,6,m2110,0.470588235294118,0.529411764705882
0948,55,27,10,m2003,0.705882352941177,0.294117647058823
0948,55,27,10,m2005,0.588235294117647,0.411764705882353
0948,55,27,10,m2007,0.588235294117647,0.411764705882353
0948,55,27,10,m2010,0.411764705882353,0.588235294117647
0948,55,27,10,m2012,0.647058823529412,0.352941176470588
0948,55,27,10,m2015,0.235294117647059,0.764705882352941
0948,55,27,10,m2016,0.411764705882353,0.588235294117647
0948,55,27,10,m2018,0.235294117647059,0.764705882352941
0948,55,27,10,m2022,0.294117647058824,0.705882352941176
0948,55,27,10,m2023,0.647058823529412,0.352941176470588
0948,55,27,10,m2025,0.352941176470588,0.647058823529412
1119,55,27,10,m2001,0.647058823529412,0.352941176470588
1119,55,27,10,m2005,0.235294117647059,0.764705882352941
1119,55,27,10,m2008,0.352941176470588,0.647058823529412
1119,55,27,10,m2026,0.352941176470588,0.647058823529412
1119,55,27,10,m2027,0.352941176470588,0.647058823529412
1119,55,27,10,m2028,0.470588235294118,0.529411764705882
1119,55,27,10,m2032,0.529411764705882,0.470588235294118
1119,55,27,10,m2053,0.647058823529412,0.352941176470588
1119,55,27,10,m2071,0.588235294117647,0.411764705882353
1119,55,27,10,m2080,0.411764705882353,0.588235294117647
1119,55,27,10,m2081,0.352941176470588,0.647058823529412
1119,55,27,10,m2083,0.470588235294118,0.529411764705882
0098,54,27,8,m2087,0.6875,0.3125
0098,54,27,8,m2088,0.8125,0.1875
0098,54,27,8,m2089,0.4375,0.5625
0098,54,27,8,m2090,0.4375,0.5625
0098,54,27,8,m2104,0.625,0.375
0098,54,27,8,m2105,0.666666666666667,0.333333333333333
0098,54,27,8,m2106,0.4375,0.5625
0098,54,27,8,m2107,0.625,0.375
0660,53,26,8,m2010,0.5625,0.4375
0660,53,26,8,m2045,0.5,0.5
0660,53,26,8,m2046,0.4375,0.5625
0660,53,26,8,m2047,0.6875,0.3125
0660,53,26,8,m2048,0.6875,0.3125
0660,53,26,8,m2051,0.5,0.5
0660,53,26,8,m2052,0.5,0.5
0660,53,26,8,m2053,0.4375,0.5625
1103,53,26,12,m2094,0.5,0.5
1103,53,26,12,m2109,0.4375,0.5625
1103,53,26,12,m2110,0.4375,0.5625
1103,53,26,12,m2111,0.625,0.375
1103,53,26,12,m2112,0.375,0.625
1103,53,26,12,m2113,0.4375,0.5625
1103,53,26,12,m2114,0.5625,0.4375
1103,53,26,12,m2118,0.5625,0.4375
0662,49,24,8,m2006,0.533333333333333,0.466666666666667
0662,49,24,8,m2014,0.5,0.5
0662,49,24,8,m2031,0.6,0.4
0662,49,24,8,m2034,0.357142857142857,0.642857142857143
0662,49,24,8,m2035,0.285714285714286,0.714285714285714
0662,49,24,8,m2038,0.5,0.5
1300,48,24,5,m2001,0.5,0.5
1300,48,24,5,m2002,0.285714285714286,0.714285714285714
1300,48,24,5,m2018,0.5,0.5
1300,48,24,5,m2033,0.285714285714286,0.714285714285714
1105,43,21,12,m2001,0.692307692307692,0.307692307692308
1105,43,21,12,m2005,0.384615384615385,0.615384615384615
1105,43,21,12,m2008,0.538461538461538,0.461538461538462
