PathCode,StudentNum,TrainingNum,PredictorsNum,Target,H,R2,MSE,RMSE,PredR2,PredMSE,PredRMSE
1360,141,71,4,m2001,1,0.276199110779744,13.3379805203782,3.65212000355659,-0.0873111503770303,19.3940805189699,3.65212000355659
1360,141,71,4,m2002,3,0.140645202700185,20.8058984925308,4.56134831957951,0.0665902955596892,20.7868859576152,4.56134831957951
1360,141,71,4,m2003,2,0.142444882491813,25.4337136497548,5.04318487166144,-0.187658861089847,51.6382492454694,5.04318487166144
1360,141,71,4,m2004,3,0.423283943110825,18.3681947625044,4.28581319734125,0.235054611416454,29.9755385407243,4.28581319734125
1360,141,71,4,m2005,1,0.000620641624461959,44.7308006093148,6.68810889634094,-0.388428321980038,40.3462787895106,6.68810889634094
1412,116,58,8,m2001,1,0.263279747853629,94.6105170658446,9.72679377111721,0.0604084925280244,58.9250432408384,9.72679377111721
1412,116,58,8,m2003,3,0.133689140586566,57.4690640269625,7.58083531195359,-25.8234192493053,856.948029176174,7.58083531195359
1412,116,58,8,m2005,2,0.650021274258041,31.0529132099244,5.57251408342091,-0.912260280798538,32.275831482278,5.57251408342091
1412,116,58,8,m2007,2,0.616736178988481,35.5898738618904,5.96572492341797,-1.94593424662969,87.0553630432612,5.96572492341797
1412,116,58,8,m2009,1,0.0712746812228411,114.557053329366,10.7031328745076,-0.105051793791053,27.9068426879347,10.7031328745076
1412,116,58,8,m2011,1,0.358193667194031,112.815396936928,10.6214592658885,0.443890869526179,58.9630026958871,10.6214592658885
0495,100,50,8,m2013,2,0.39122220641236,33.6201189175535,5.79828586028264,-0.0820652248488607,108.24138903102,5.79828586028264
0495,100,50,8,m2014,6,-0.166652442608715,43.1493405813489,6.56881576704271,-0.474208302660967,34.7429352660409,6.56881576704271
0495,100,50,8,m2015,2,0.440428108143106,24.2012604940539,4.91947766475811,-0.064270264995165,30.8625722029751,4.91947766475811
0495,100,50,8,m2016,8,0.19018559382715,19.4164341281627,4.40640830247978,-0.183312451732923,115.144190303292,4.40640830247978
0495,100,50,8,m2017,2,0.0154748868190087,131.646366224064,11.4737250369731,0.106977815315293,124.530951407411,11.4737250369731
0495,100,50,8,m2018,1,-0.0211630566441767,47.0670391416207,6.860542190062,-0.26838197637184,85.0675588528862,6.860542190062
0495,100,50,8,m2019,1,0.0641607202427092,10.4473353834985,3.23223380705952,-0.049281900602129,15.0875078618802,3.23223380705952
0495,100,50,8,m2020,3,-0.235155185280822,35.8313578629225,5.9859299914819,-0.190230917933322,28.6164912730223,5.9859299914819
0113,88,44,6,m2087,4,0.500272852005751,40.8857341599675,6.39419534890572,-3.86384780083348,259.345257368407,6.39419534890572
0113,88,44,6,m2088,1,0.107675473800919,68.0803053284162,8.25107904024778,0.00523850108502266,84.879937897803,8.25107904024778
0113,88,44,6,m2089,1,0.291333844450486,73.3293768641131,8.56325737462755,0.0789974343998494,138.27027866513,8.56325737462755
0113,88,44,6,m2104,4,0.263569496365919,34.2698847796496,5.8540485802263,-0.328327327668704,84.2662560942969,5.8540485802263
0113,88,44,6,m2105,1,0.282762462160885,119.439314694824,10.9288295208052,-0.145157321994758,200.023070934694,10.9288295208052
0113,88,44,6,m2106,4,0.339353945925017,84.4599808398434,9.19021114228848,-0.94323788609837,304.904372932961,9.19021114228848
0113,88,44,6,m2107,1,-0.0102045391024976,159.061296520502,12.6119505438494,0.001520755582476,183.254913277571,12.6119505438494
0113,88,44,6,m2116,6,-0.140416345166728,237.01810122523,15.3953922075805,-0.315070430262055,323.810803636064,15.3953922075805
1097,79,39,12,m2100,4,0.329261194006825,25.0814860813069,5.00814197894857,-0.405639221038976,76.4291922981244,5.00814197894857
1097,79,39,12,m2102,10,0.525129196679124,63.4022769593624,7.96255467543943,0.379381012627381,102.349337204015,7.96255467543943
1097,79,39,12,m2103,2,0.634120915597773,48.7564550303418,6.98258226090762,0.314244806489572,183.428799339141,6.98258226090762
1097,79,39,12,m2104,12,0.307797264435693,92.1298631082435,9.59843024188036,0.0463678374703355,243.169578999491,9.59843024188036
1097,79,39,12,m2107,3,0.309265379198102,36.8346384570953,6.06915467401312,0.249040740202824,59.0011480939604,6.06915467401312
1097,79,39,12,m2115,1,0.28215728540475,74.7047255804424,8.6431895490289,0.0428890185247598,105.759101802005,8.6431895490289
1097,79,39,12,m2116,3,0.477043455328273,97.1791477311679,9.85794845447915,0.0978359526380874,213.510591618626,9.85794845447915
1097,79,39,12,m2117,8,0.675620754427393,37.0282854262316,6.0850871338241,-0.392384625220105,179.905279449229,6.0850871338241
1100,77,39,12,m2001,4,0.489689082644662,150.15018029073,12.2535782647653,-0.783952889284057,556.471898235427,12.2535782647653
1100,77,39,12,m2012,2,0.418654595913674,151.577118778269,12.3116659627472,-2.21377326165102,348.545556838265,12.3116659627472
1100,77,39,12,m2013,2,0.134918184692227,127.210821261669,11.2787774719456,0.312959766106211,39.3963675896677,11.2787774719456
1100,77,39,12,m2014,1,0.275269063352165,166.100135168763,12.8879841390639,0.148418092146156,198.787227737693,12.8879841390639
1100,77,39,12,m2015,7,0.514807924295105,86.437558428405,9.29718013315893,-0.995214203690732,138.706989706863,9.29718013315893
1100,77,39,12,m2017,2,0.106258311044418,97.2327496635346,9.86066679609115,0.201266989018027,46.549978692957,9.86066679609115
1100,77,39,12,m2026,7,0.326948069182976,146.736826079322,12.1134976814842,-1.4547351348482,223.979499978928,12.1134976814842
1100,77,39,12,m2070,10,0.813635423104339,48.469493312548,6.96200354154952,-1.37383727300636,293.925030967706,6.96200354154952
