PathCode,StudentNum,TrainingNum,PredictorsNum,Target,RMSE,MSE,R2,AdjR2,PredR2,PredMSE,PredRMSE
0233,55,38,6,m2109,8.58187154080959,73.6485191429576,0.704588400666005,0.647411962085231,0.546306730877732,135.571084203671,11.6434996544712
0233,55,38,6,m2110,5.61979908930782,31.582141804185,0.677288779586847,0.614828543377849,0.538689261692368,56.2384080693928,7.4992271648079
0948,55,38,10,m2003,9.97792540323807,99.5589953525837,0.607094664082811,0.461574169298667,0.296637905686013,210.882071792797,14.5217792226985
0948,55,38,10,m2005,6.40409498856209,41.012432622526,0.654196477180969,0.526121098359105,-0.0230209412794073,69.7140983306458,8.34949689086988
0948,55,38,10,m2007,7.61238446353108,57.9483972206093,0.764143051049681,0.676788625512526,0.492096070741354,94.2451768526787,9.70799551157079
0948,55,38,10,m2010,6.69086530404046,44.7676785168124,0.534218572199631,0.361706932273569,0.443767021242189,30.7718092193075,5.54723437573243
0948,55,38,10,m2012,7.78887022209514,60.6664993366403,0.744176811615759,0.649427482584558,0.534290213055937,70.6912004624987,8.40780592440731
0948,55,38,10,m2015,8.30103792953486,68.9072307075764,0.151936439681211,-0.162161175251675,-0.345080226796675,105.549236620398,10.2737158136868
0948,55,38,10,m2016,6.8386504566774,46.767140068614,0.451521584399474,0.248381430473353,0.517379161477695,48.0416480367117,6.93120826672462
0948,55,38,10,m2018,12.1356556695026,147.274138528731,0.446323623880202,0.241258299391388,-0.140829690150601,150.605309130193,12.2721354755476
0948,55,38,10,m2022,11.3001718810195,127.693884540584,0.429344575914635,0.217990715142278,-0.136278692253557,125.108608953315,11.1851959729508
0948,55,38,10,m2023,6.55964034482939,43.0288814535134,0.611626046895001,0.467783842041298,0.268951634693578,95.8204570166341,9.78879241871203
0948,55,38,10,m2025,6.65258186832905,44.2568455148204,0.689593369758787,0.57462795115093,0.604751189391289,47.9823850221316,6.92693186209678
1119,55,38,10,m2001,9.16104752518398,83.9247917586795,0.685751795216928,0.569363571223197,0.733088389959861,38.5996672318946,6.21286304628507
1119,55,38,10,m2005,8.05598631586023,64.8989155213273,0.604801010606797,0.45843101453524,-0.0657986533307056,67.2006334290385,8.19759924789194
1119,55,38,10,m2008,9.96971514415486,99.3952200555909,0.680860298934313,0.562660409650725,-0.0946942443230143,188.294985762274,13.7220620083963
1119,55,38,10,m2026,12.3454425352856,152.409951392039,0.540642595740999,0.370510223793221,0.459137609995944,85.4562576206409,9.24425538486691
1119,55,38,10,m2027,14.5090058557791,210.511250923032,0.355925629591877,0.117379566477758,-0.471896843790771,167.358236287075,12.9367011361891
1119,55,38,10,m2028,10.6476951503478,113.373412014741,0.365322678762512,0.130257004230109,-1.31971588443132,72.0315928958015,8.4871427993054
1119,55,38,10,m2032,14.8355844058772,220.094564663906,0.577830039212918,0.421470794476962,0.170262246521294,154.870982346534,12.4447170456597
1119,55,38,10,m2053,13.6411242089096,186.080269682899,0.416317815744595,0.200139228983333,-0.474538170811635,210.159955902184,14.4968946985961
1119,55,38,10,m2071,9.65178966151268,93.1570436700831,0.657761043535768,0.531005874474941,-0.283161070839438,124.098103563883,11.1399328348013
1119,55,38,10,m2080,11.0269096106162,121.592735560699,0.511735008374488,0.330896122587262,-0.0266424846991109,151.637581667357,12.314121230009
1119,55,38,10,m2081,11.9976149994019,143.942765673873,0.563948892250703,0.402448481973186,-0.667880574358609,143.056829332876,11.9606366608503
1119,55,38,10,m2083,11.1579503156167,124.499855245771,0.592391205969217,0.441424985957816,-0.0668733133655868,116.359331616897,10.7869982672149
0098,54,38,8,m2087,6.00618774005754,36.0742911688175,0.489234905077149,0.348334189236362,0.522543120114038,47.9974718900985,6.92802077725655
0098,54,38,8,m2088,4.95145878751522,24.5169441244617,0.598172547478972,0.487323595059377,0.632255268148984,29.643672994053,5.44460035209684
0098,54,38,8,m2089,6.48755666722864,42.0883915105028,0.719133765027989,0.641653424346055,0.466375485502627,118.412530449423,10.8817521773574
0098,54,38,8,m2090,8.72122821916283,76.0598216507221,0.705149896546296,0.62381193697286,0.598299566456264,128.278953682164,11.3260299170611
0098,54,38,8,m2104,10.7806628930571,116.222692413738,0.416822661688654,0.255946154568283,0.00238449083547843,80.7912684999956,8.98839632526268
0098,54,38,8,m2105,14.7301025043409,216.975919788389,0.599409832989098,0.488902200710228,-0.74186398122456,434.227336475047,20.8381221916719
0098,54,38,8,m2106,12.1368946051123,147.304210655603,0.550628286930224,0.426663676428216,0.377959298491345,216.159143774258,14.7023516409538
0098,54,38,8,m2107,9.11489834701865,83.0813718764834,0.780446246096277,0.71987969329525,0.489618732925759,239.24121894105,15.4674244443298
0660,53,37,8,m2010,10.0531948658774,101.066727011303,0.686582905734894,0.597035164516292,0.750964574768569,57.8968451877885,7.60899764671987
0660,53,37,8,m2045,8.32942442454147,69.379311244148,0.641131937764939,0.538598205697779,0.74713871125734,64.7789136703511,8.04853487725257
0660,53,37,8,m2046,11.1963374379141,125.357972023637,0.418188232953947,0.251956299512217,0.477598979288852,129.324862060816,11.3721089539635
0660,53,37,8,m2047,8.4975503660538,72.208362223621,0.517934662115003,0.380201708433575,0.62028209148924,37.8709282816279,6.15393599914948
0660,53,37,8,m2048,6.41905214360325,41.2042304222975,0.618329255771443,0.509280471706141,0.70206856423721,40.7374686618777,6.38259106177716
0660,53,37,8,m2051,6.55600901623001,42.9812542208892,0.499656396098249,0.356701080697749,0.388224842106405,76.6798027005148,8.75670044597363
0660,53,37,8,m2052,10.0773424942704,101.552831746827,0.4302138487175,0.267417805493928,0.54363779733535,158.113459239614,12.5743174462717
0660,53,37,8,m2053,6.71874035911359,45.1414720131818,0.344767492284969,0.157558204366389,0.164639567118642,64.9492736565256,8.05911122001214
1103,53,37,12,m2094,9.8323329430509,96.6747711030039,0.691988214659229,0.537982321988843,0.595700780562536,127.365309179583,11.2856240048826
1103,53,37,12,m2109,8.41017558628617,70.7310533921639,0.717691270328466,0.576536905492699,0.6397434342072,172.652959156199,13.1397473018395
1103,53,37,12,m2110,6.36284414202095,40.4857855756503,0.605164214738756,0.407746322108134,0.591351262325382,34.120573311699,5.8412818209447
1103,53,37,12,m2111,7.00284923824305,49.0398974535613,0.780107912852138,0.670161869278208,0.645404581808177,56.6563140246099,7.52703886163808
