PathCode,StudentNum,TrainingNum,PredictorsNum,mean_Accuracy,mean_Error
1360,141,99,4,0.695238095238095,0.304761904761905
1412,116,81,8,0.619047619047619,0.380952380952381
0495,100,70,8,0.580747126436782,0.419252873563218
0113,88,62,6,0.5625,0.4375
1097,79,55,12,0.614583333333333,0.385416666666667
1100,77,54,12,0.541501976284585,0.458498023715415
0316,72,50,9,0.534090909090909,0.465909090909091
0690,68,48,8,0.5875,0.4125
1112,68,48,10,0.6,0.4
1351,60,42,4,0.595588235294118,0.404411764705882
0116,55,38,6,0.676470588235294,0.323529411764706
0233,55,38,6,0.558823529411765,0.441176470588235
0948,55,38,10,0.497326203208556,0.502673796791444
1119,55,38,10,0.485294117647059,0.514705882352941
0098,54,38,8,0.573958333333333,0.426041666666667
0660,53,37,8,0.625,0.375
1103,53,37,12,0.484375,0.515625
0662,49,34,8,0.525396825396825,0.474603174603175
1300,48,34,5,0.553571428571429,0.446428571428571
1105,43,30,12,0.506410256410256,0.493589743589744
1113,43,30,10,0.432692307692308,0.567307692307692
1118,42,29,10,0.482517482517482,0.517482517482517
0670,40,28,8,0.5625,0.4375
